number_of_selling_properties,city
13424,Novi Sad
13208,Beograd
3224,Niš
1186,Kragujevac
1085,Subotica
746,Zlatibor
578,Zrenjanin
506,Jagodina
451,Vrnjačka Banja
316,Paraćin
305,Pančevo
245,Sombor
171,Leskovac
159,Kraljevo
151,Inđija
138,Šabac
136,Ćuprija
129,Kruševac
125,Ruma
112,Stara Pazova
87,Kopaonik
80,Beočin
78,Vranje
70,Irig
64,Valjevo
64,Zaječar
59,Sremski Karlovci
59,Svilajnac
56,Smederevo
55,Čačak
54,Prijepolje
53,Smederevska Palanka
52,Temerin
47,Loznica
43,Merošina
42,Sokobanja
40,Aleksinac
39,Kosovska Mitrovica
39,Srbobran
36,Sremska Mitrovica
32,Apatin
31,Bačka Topola
31,Vršac
29,Užice
28,Vrbas
27,Tutin
25,Čajetina
25,Mionica
24,Aranđelovac
23,Kovačica
23,Bačka Palanka
22,Topola
21,Kikinda
18,Titel
18,Šid
18,Negotin
17,Pećinci
17,Gadžin Han
16,Vladimirci
16,Žitište
16,Velika Plana
15,Bajina Bašta
14,Žabalj
14,Kula
14,Knić
14,Trstenik
14,Doljevac
13,Bor
13,Bečej
13,Sečanj
13,Svrljig
13,Bela Crkva
13,Prokuplje
12,Pirot
12,Veliko Gradište
12,Kovin
11,Gornji Milanovac
11,Ub
11,Požarevac
11,Novi Kneževac
10,Batočina
10,Opovo
10,Vladičin Han
9,Odžaci
9,Rekovac
9,Tara
9,Žitorađa
9,Alibunar
8,Bogatić
7,Novi Bečej
7,Varvarin
7,Knjaževac
6,Ljig
6,Nova Varoš
6,Bački Petrovac
6,Kuršumlija
6,Bela Palanka
6,Golubac
6,Nova Crnja
6,Lajkovac
6,Kanjiža
6,Lapovo
5,Plandište
5,Bujanovac
5,Zlatar
4,Ljubovija
4,Ćićevac
4,Raška
4,Arilje
4,Fruška Gora
4,Vlasotince
3,Čoka
3,Petrovac na Mlavi
3,Despotovac
3,Lučani
3,Žabari
3,Koceljeva
2,Dragaš
2,Bač
2,Kosjerić
2,Priboj
2,Dimitrovgrad
2,Boljevac
1,Blace
1,Žagubica
1,Leposavić
1,Lebane
1,Mali Iđoš
1,Medveđa
1,Surdulica
